CodigoCombustible,NombreEstacion,Dirección,Ciudad,Estado,AccesoPublico,Latitud,Longitud,IDEstacion
ELEC,Nissan - Huntington,850 E Jericho Turnpike,Huntington Station,NY,True,40.834455,-73.379693,44350
ELEC,Nissan - Huntington,850 E Jericho Turnpike,Huntington Station,NY,False,40.834455,-73.379693,44351
ELEC,Kingston Nissan,140 Route 28,Kingston,NY,True,41.948965,-74.032033,44352
ELEC,West Herr Nissan,6069 S Transit Rd,Lockport,NY,True,43.128557,-78.696197,44354
ELEC,West Herr Nissan,6069 S Transit Rd,Lockport,NY,False,43.128557,-78.696197,44355
ELEC,Nissan Kia - Middletown,4961 Route 17M,New Hampton,NY,True,41.40859,-74.413372,44358
ELEC,Nissan Kia - Middletown,4961 Route 17M,New Hampton,NY,False,41.40859,-74.413372,44359
ELEC,Nissan of New Rochelle,2533 Palmer Ave,New Rochelle,NY,True,40.919104,-73.776645,44360
ELEC,Nissan of New Rochelle,2533 Palmer Ave,New Rochelle,NY,False,40.919104,-73.776645,44361
E85,Brookhaven National Laboratory B-20,Temple Pl,Upton,NY,False,40.868691,-72.873968,47311
ELEC,Baron Nissan,235 Glen Cove Rd,Greenvale,NY,True,40.816267,-73.625869,47721
ELEC,Baron Nissan,235 Glen Cove Rd,Greenvale,NY,False,40.816267,-73.625869,47722
CNG,Town of Oyster Bay,150 Miller Pl,Syosset,NY,False,40.784482,-73.5159,48010
BD,Brookhaven National Laboratory B-20,Temple Pl,Upton,NY,False,40.868691,-72.873968,48471
BD,Mirabito Travel Center,1166 Castle Creek Rd,Castle Creek,NY,True,42.231607,-75.916744,48893
CNG,Modern Disposal Services,4746 Model City Rd,Lewiston,NY,False,43.182614,-78.984194,48907
CNG,Village of Minoa,102 Kalin Dr,Minoa,NY,False,43.07816,-75.998345,49285
E85,New York State Thruway Authority - Clarence Travel Plaza,Milepost 412 Westbound,Clarence,NY,True,42.95248,-78.60289,49313
ELEC,Vision Nissan Greece,4000 W Ridge Rd,Rochester,NY,True,43.216099,-77.73619,49676
ELEC,Central Avenue Nissan,1919 Central Park Ave,Yonkers,NY,True,40.964447,-73.840117,49678
ELEC,Central Avenue Nissan,1919 Central Park Ave,Yonkers,NY,False,40.964447,-73.840117,49679
ELEC,Shults Nissan,311 Fluvanna Ave,Jamestown,NY,True,42.115661,-79.253776,49932
ELEC,Shults Nissan,311 Fluvanna Ave,Jamestown,NY,False,42.115661,-79.253776,49933
