Año,Fabricante,Modelo,ClaseVehículo,TipoCombustible,EficienciaConv,EficienciaAlt,CO2(g/pm),HibridoEnchufable,RangoAutonomia,CostoCombustible
2017,MINI,Cooper S Hardtop 4 door,Subcompact Cars,Premium Gasoline,28.0,0.0,316.0,False,0.0,2350.0
2017,Infiniti,QX70 RWD,Small Sport Utility Vehicle 2WD,Premium Gasoline,19.0,0.0,457.0,False,0.0,3450.0
2017,Jeep,Cherokee FWD,Small Sport Utility Vehicle 2WD,Regular Gasoline,25.0,0.0,361.0,False,0.0,2100.0
2017,Jeep,Cherokee FWD,Small Sport Utility Vehicle 2WD,Regular Gasoline,25.0,18.0,361.0,False,0.0,2100.0
2017,Jeep,Cherokee 4WD,Small Sport Utility Vehicle 4WD,Regular Gasoline,23.0,17.0,378.0,False,0.0,2300.0
2017,Jeep,Grand Cherokee 4WD,Standard Sport Utility Vehicle 4WD,Midgrade Gasoline,17.0,0.0,533.0,False,0.0,3550.0
2017,Jeep,Grand Cherokee SRT 4WD,Standard Sport Utility Vehicle 4WD,Premium Gasoline,15.0,0.0,592.0,False,0.0,4350.0
2017,Chevrolet,Corvette,Two Seaters,Premium Gasoline,18.0,0.0,503.0,False,0.0,3650.0
2017,Audi,TTS Coupe,Subcompact Cars,Premium Gasoline,25.0,0.0,358.0,False,0.0,2600.0
2017,BMW,230i xDrive Coupe,Subcompact Cars,Premium Gasoline,27.0,0.0,325.0,False,0.0,2400.0
2017,Chevrolet,Spark,Subcompact Cars,Regular Gasoline,33.0,0.0,268.0,False,0.0,1600.0
2017,Toyota,Yaris iA,Subcompact Cars,Regular Gasoline,35.0,0.0,249.0,False,0.0,1500.0
2017,Audi,Q3 quattro,Compact Cars,Premium Gasoline,23.0,0.0,387.0,False,0.0,2850.0
2017,BMW,330i,Compact Cars,Premium Gasoline,25.0,0.0,360.0,False,0.0,2600.0
2017,Mercedes-Benz,C300 4matic,Compact Cars,Premium Gasoline,27.0,0.0,333.0,False,0.0,2400.0
2017,Volkswagen,Golf R,Compact Cars,Premium Gasoline,25.0,0.0,347.0,False,0.0,2600.0
2017,Cadillac,CTS,Midsize Cars,Premium Gasoline,18.0,0.0,481.0,False,0.0,3650.0
2017,Cadillac,CTS AWD,Midsize Cars,Premium Gasoline,24.0,0.0,368.0,False,0.0,2700.0
2017,BMW,330i xDrive Gran Turismo,Large Cars,Premium Gasoline,26.0,0.0,335.0,False,0.0,2500.0
2017,BMW,750i,Large Cars,Premium Gasoline,20.0,0.0,441.0,False,0.0,3250.0
2017,BMW,750i xDrive,Large Cars,Premium Gasoline,19.0,0.0,459.0,False,0.0,3450.0
2017,BMW,Alpina B7 xDrive,Large Cars,Premium Gasoline,18.0,0.0,481.0,False,0.0,3650.0
2017,Rolls-Royce,Ghost EWB,Large Cars,Premium Gasoline,14.0,0.0,627.0,False,0.0,4650.0
2017,BMW,330i xDrive Sports Wagon,Small Station Wagons,Premium Gasoline,26.0,0.0,335.0,False,0.0,2500.0
2017,Chevrolet,Sonic 5,Small Station Wagons,Regular Gasoline,30.0,0.0,295.0,False,0.0,1750.0
2017,Chevrolet,Sonic 5,Small Station Wagons,Regular Gasoline,32.0,0.0,281.0,False,0.0,1650.0
2017,Chevrolet,Silverado C15 2WD,Standard Pickup Trucks 2WD,Regular Gasoline,19.0,14.0,475.0,False,0.0,2800.0
2017,Chevrolet,Trax,Small Sport Utility Vehicle 2WD,Regular Gasoline,28.0,0.0,313.0,False,0.0,1900.0
2017,Chevrolet,Trax AWD,Small Sport Utility Vehicle 4WD,Regular Gasoline,27.0,0.0,334.0,False,0.0,1950.0
2017,Subaru,Forester AWD,Small Sport Utility Vehicle 4WD,Regular Gasoline,24.0,0.0,368.0,False,0.0,2200.0
2017,Ferrari,488 Spider,Two Seaters,Premium Gasoline,18.0,0.0,501.0,False,0.0,3650.0
2017,Infiniti,Q60,Subcompact Cars,Premium Gasoline,25.0,0.0,353.0,False,0.0,2600.0
2017,BMW,440i Coupe,Compact Cars,Premium Gasoline,25.0,0.0,358.0,False,0.0,2600.0
2017,Volkswagen,GTI,Compact Cars,Regular Gasoline,27.0,0.0,325.0,False,0.0,1950.0
2017,Volkswagen,Jetta,Compact Cars,Regular Gasoline,29.0,0.0,311.0,False,0.0,1850.0
2017,Volkswagen,Golf,Compact Cars,Regular Gasoline,29.0,0.0,305.0,False,0.0,1850.0
2017,Infiniti,QX50,Small Station Wagons,Premium Gasoline,20.0,0.0,445.0,False,0.0,3250.0
2017,Toyota,Tacoma 4WD,Small Pickup Trucks 4WD,Regular Gasoline,18.0,0.0,481.0,False,0.0,2950.0
2017,Toyota,Tacoma 4WD Double Cab Off-Road,Small Pickup Trucks 4WD,Regular Gasoline,18.0,0.0,483.0,False,0.0,2950.0
2017,Audi,TT Coupe quattro,Subcompact Cars,Regular Gasoline,26.0,0.0,336.0,False,0.0,2050.0
2017,BMW,340i,Compact Cars,Premium Gasoline,23.0,0.0,395.0,False,0.0,2850.0
2017,BMW,440i Coupe,Compact Cars,Premium Gasoline,23.0,0.0,395.0,False,0.0,2850.0
2017,Mercedes-Benz,C300,Compact Cars,Premium Gasoline,28.0,0.0,319.0,False,0.0,2350.0
2017,Bentley,Mulsanne,Midsize Cars,Premium Gasoline,14.0,0.0,652.0,False,0.0,4650.0
2017,BMW,340i xDrive Gran Turismo,Large Cars,Premium Gasoline,24.0,0.0,374.0,False,0.0,2700.0
2017,Lincoln,Continental  AWD,Large Cars,Regular Gasoline,19.0,0.0,467.0,False,0.0,2800.0
2017,Audi,A4 allroad quattro,Small Station Wagons,Premium Gasoline,25.0,0.0,349.0,False,0.0,2600.0
2017,Subaru,Crosstrek AWD,Small Sport Utility Vehicle 4WD,Regular Gasoline,29.0,0.0,311.0,False,0.0,1850.0
2017,Toyota,Prius,Midsize Cars,Regular Gasoline,52.0,0.0,171.0,False,0.0,1000.0
2017,Kia,Soul,Small Station Wagons,Regular Gasoline,27.0,0.0,334.0,False,0.0,1950.0
2017,Toyota,RAV4 LE/XLE,Small Sport Utility Vehicle 2WD,Regular Gasoline,26.0,0.0,338.0,False,0.0,2050.0
2017,Lexus,GX 460,Standard Sport Utility Vehicle 4WD,Premium Gasoline,16.0,0.0,548.0,False,0.0,4100.0
2017,Hyundai,Veloster,Compact Cars,Regular Gasoline,31.0,0.0,288.0,False,0.0,1700.0
2017,Jaguar,XE AWD,Compact Cars,Diesel,34.0,0.0,299.0,False,0.0,1700.0
2017,Kia,Forte Koup,Compact Cars,Regular Gasoline,26.0,0.0,348.0,False,0.0,2050.0
2017,Chrysler,200,Midsize Cars,Regular Gasoline,27.0,20.0,323.0,False,0.0,1950.0
2017,Infiniti,Q50S Red Sport,Midsize Cars,Premium Gasoline,22.0,0.0,398.0,False,0.0,2950.0
2017,Infiniti,Q50 AWD,Midsize Cars,Premium Gasoline,22.0,0.0,408.0,False,0.0,2950.0
2017,Infiniti,Q50S Red Sport  AWD,Midsize Cars,Premium Gasoline,22.0,0.0,412.0,False,0.0,2950.0
2017,Infiniti,Q50 AWD,Midsize Cars,Premium Gasoline,24.0,0.0,365.0,False,0.0,2700.0
2017,Lexus,ES 300h,Midsize Cars,Regular Gasoline,40.0,0.0,223.0,False,0.0,1350.0
2017,Mercedes-Benz,S550 4matic,Large Cars,Premium Gasoline,20.0,0.0,452.0,False,0.0,3250.0
2017,Toyota,Tundra 4WD FFV,Standard Pickup Trucks 4WD,Regular Gasoline,15.0,10.0,604.0,False,0.0,3550.0
2017,Mercedes-Benz,C300 4matic Convertible,Subcompact Cars,Premium Gasoline,25.0,0.0,360.0,False,0.0,2600.0
2017,Mercedes-Benz,S550 4matic Coupe,Compact Cars,Premium Gasoline,20.0,0.0,443.0,False,0.0,3250.0
2017,Mitsubishi,Lancer,Compact Cars,Regular Gasoline,30.0,0.0,295.0,False,0.0,1750.0
2017,Nissan,Altima SR,Midsize Cars,Regular Gasoline,30.0,0.0,297.0,False,0.0,1750.0
2017,Nissan,Altima,Midsize Cars,Regular Gasoline,26.0,0.0,347.0,False,0.0,2050.0
2017,Honda,HR-V AWD,Small Station Wagons,Regular Gasoline,29.0,0.0,314.0,False,0.0,1850.0
2017,Nissan,Pathfinder 2WD,Small Sport Utility Vehicle 2WD,Regular Gasoline,23.0,0.0,395.0,False,0.0,2300.0
2017,Lexus,RX 450h AWD,Standard Sport Utility Vehicle 4WD,Premium Gasoline,30.0,0.0,297.0,False,0.0,2200.0
2017,Kia,Soul Electric,Small Station Wagons,Electricity,105.0,0.0,0.0,False,93.0,650.0
2017,BMW,X5 xDrive40e,Standard Sport Utility Vehicle 4WD,Premium Gasoline,24.0,56.0,248.0,True,0.0,2700.0
2017,Lexus,RC 300 AWD,Subcompact Cars,Premium Gasoline,21.0,0.0,415.0,False,0.0,3100.0
2017,Mercedes-Benz,CLA250 4matic,Compact Cars,Premium Gasoline,27.0,19.0,336.0,False,0.0,2400.0
2017,Lexus,LS 460,Midsize Cars,Premium Gasoline,19.0,0.0,460.0,False,0.0,3450.0
2017,Lexus,LS 460 AWD,Midsize Cars,Premium Gasoline,18.0,0.0,486.0,False,0.0,3650.0
2017,Lexus,LS 460 L AWD,Midsize Cars,Premium Gasoline,18.0,0.0,486.0,False,0.0,3650.0
2017,Lexus,GS 350,Midsize Cars,Premium Gasoline,23.0,0.0,388.0,False,0.0,2850.0
2017,Lexus,GS 200t,Midsize Cars,Premium Gasoline,26.0,0.0,345.0,False,0.0,2500.0
2017,Kia,Optima,Large Cars,Regular Gasoline,31.0,0.0,286.0,False,0.0,1700.0
2017,Kia,Optima,Large Cars,Regular Gasoline,25.0,0.0,360.0,False,0.0,2100.0
2017,Infiniti,QX60 FWD,Small Sport Utility Vehicle 2WD,Premium Gasoline,22.0,0.0,399.0,False,0.0,2950.0
2017,Infiniti,QX60 AWD,Small Sport Utility Vehicle 4WD,Premium Gasoline,22.0,0.0,410.0,False,0.0,2950.0
2017,Jeep,Wrangler Unlimited 4WD,Small Sport Utility Vehicle 4WD,Regular Gasoline,18.0,0.0,502.0,False,0.0,2950.0
2017,Infiniti,QX60 Hybrid FWD,Standard Sport Utility Vehicle 2WD,Regular Gasoline,26.0,0.0,341.0,False,0.0,2050.0
2017,BMW,i8,Subcompact Cars,Premium Gasoline,28.0,76.0,199.0,True,0.0,2350.0
2017,Chevrolet,Camaro,Subcompact Cars,Premium Gasoline,16.0,0.0,560.0,False,0.0,4100.0
2017,Nissan,Sentra,Midsize Cars,Regular Gasoline,30.0,0.0,298.0,False,0.0,1750.0
2017,Nissan,Sentra,Midsize Cars,Premium Gasoline,28.0,0.0,318.0,False,0.0,2350.0
2017,Ford,F150 2WD BASE PAYLOAD LT TIRE,Standard Pickup Trucks 2WD,Regular Gasoline,21.0,0.0,423.0,False,0.0,2550.0
2017,Ford,F150 4WD BASE PAYLOAD LT TIRE,Standard Pickup Trucks 4WD,Regular Gasoline,19.0,0.0,467.0,False,0.0,2800.0
2017,Lexus,NX 200t AWD,Small Sport Utility Vehicle 4WD,Premium Gasoline,24.0,0.0,364.0,False,0.0,2700.0
2017,Lexus,NX 300h AWD,Small Sport Utility Vehicle 4WD,Regular Gasoline,31.0,0.0,281.0,False,0.0,1700.0
2017,Mitsubishi,Outlander 4WD,Small Sport Utility Vehicle 4WD,Premium Gasoline,23.0,0.0,388.0,False,0.0,2850.0
2017,Mazda,3 4-Door,Compact Cars,Regular Gasoline,31.0,0.0,284.0,False,0.0,1700.0
2017,Mazda,3 4-Door,Compact Cars,Regular Gasoline,29.0,0.0,312.0,False,0.0,1850.0
2017,Mazda,3 4-Door,Compact Cars,Regular Gasoline,31.0,0.0,284.0,False,0.0,1700.0
2017,Mazda,3 5-Door,Midsize Cars,Regular Gasoline,30.0,0.0,291.0,False,0.0,1750.0
2017,Dodge,Charger,Large Cars,Regular Gasoline,23.0,0.0,389.0,False,0.0,2300.0
2017,Dodge,Charger SRT,Large Cars,Premium Gasoline,18.0,0.0,486.0,False,0.0,3650.0
2017,Nissan,Juke,Small Station Wagons,Premium Gasoline,29.0,0.0,307.0,False,0.0,2250.0
2017,Subaru,Impreza 5-Door,Small Station Wagons,Regular Gasoline,31.0,0.0,282.0,False,0.0,1700.0
2017,Mercedes-Benz,Metris (Passenger Van),Special Purpose Vehicle 2WD,Premium Gasoline,22.0,0.0,413.0,False,0.0,2950.0
2017,Lexus,IS 300 AWD,Compact Cars,Premium Gasoline,21.0,0.0,415.0,False,0.0,3100.0
2017,Lexus,IS 200t,Compact Cars,Premium Gasoline,26.0,0.0,345.0,False,0.0,2500.0
2017,Ford,Edge FWD,Small Sport Utility Vehicle 2WD,Regular Gasoline,24.0,0.0,370.0,False,0.0,2200.0
2017,Infiniti,Q70,Midsize Cars,Premium Gasoline,19.0,0.0,464.0,False,0.0,3450.0
2017,Infiniti,Q70 Hybrid,Midsize Cars,Premium Gasoline,30.0,0.0,296.0,False,0.0,2200.0
2017,Infiniti,Q70,Midsize Cars,Premium Gasoline,21.0,0.0,433.0,False,0.0,3100.0
2017,GMC,Canyon 2WD,Small Pickup Trucks 2WD,Regular Gasoline,22.0,0.0,408.0,False,0.0,2400.0
2017,Lincoln,MKX FWD,Small Sport Utility Vehicle 2WD,Regular Gasoline,20.0,0.0,444.0,False,0.0,2650.0
2017,Nissan,Rogue AWD,Small Sport Utility Vehicle 4WD,Regular Gasoline,27.0,0.0,326.0,False,0.0,1950.0
2017,Kia,Optima Plug-in Hybrid,Midsize Cars,Regular Gasoline,40.0,103.0,97.0,True,0.0,1350.0
2017,Dodge,Challenger SRT,Midsize Cars,Premium Gasoline,17.0,0.0,523.0,False,0.0,3850.0
2017,Lincoln,MKT FWD,Standard Sport Utility Vehicle 2WD,Regular Gasoline,19.0,0.0,468.0,False,0.0,2800.0
2017,Lincoln,MKT AWD,Standard Sport Utility Vehicle 4WD,Regular Gasoline,17.0,0.0,523.0,False,0.0,3100.0
2017,Toyota,Highlander AWD,Standard Sport Utility Vehicle 4WD,Regular Gasoline,22.0,0.0,405.0,False,0.0,2400.0
2017,Toyota,Highlander Hybrid AWD,Standard Sport Utility Vehicle 4WD,Regular Gasoline,28.0,0.0,311.0,False,0.0,1900.0
2017,BMW,328d,Compact Cars,Diesel,36.0,0.0,285.0,False,0.0,1600.0
2017,Hyundai,Ioniq Electric,Midsize Cars,Electricity,136.0,0.0,0.0,False,124.0,500.0
2017,Porsche,911 Carrera 4 GTS Cabriolet,Minicompact Cars,Premium Gasoline,22.0,0.0,402.0,False,0.0,2950.0
2017,Chevrolet,Spark ACTIV,Subcompact Cars,Regular Gasoline,32.0,0.0,278.0,False,0.0,1650.0
2017,Chrysler,300 AWD,Large Cars,Regular Gasoline,21.0,16.0,415.0,False,0.0,2550.0
2017,Honda,Pilot FWD,Small Sport Utility Vehicle 2WD,Regular Gasoline,23.0,0.0,388.0,False,0.0,2300.0
2017,Honda,Pilot AWD,Small Sport Utility Vehicle 4WD,Regular Gasoline,22.0,0.0,407.0,False,0.0,2400.0
2017,Honda,CR-V AWD,Small Sport Utility Vehicle 4WD,Regular Gasoline,27.0,0.0,328.0,False,0.0,1950.0
2017,Mercedes-Benz,GLC300 4matic Coupe,Small Sport Utility Vehicle 4WD,Premium Gasoline,24.0,0.0,375.0,False,0.0,2700.0
2017,smart,fortwo coupe,Two Seaters,Premium Gasoline,35.0,0.0,248.0,False,0.0,1850.0
2017,Ford,Fiesta FWD,Subcompact Cars,Regular Gasoline,31.0,0.0,286.0,False,0.0,1700.0
2017,Ford,Fiesta SFE FWD,Subcompact Cars,Regular Gasoline,35.0,0.0,254.0,False,0.0,1500.0
2017,Ford,Focus FWD,Compact Cars,Regular Gasoline,34.0,0.0,264.0,False,0.0,1550.0
2017,Ford,Focus FWD,Compact Cars,Regular Gasoline,29.0,0.0,303.0,False,0.0,1850.0
2017,Ford,Focus FWD FFV,Compact Cars,Regular Gasoline,31.0,23.0,289.0,False,0.0,1700.0
2017,Ford,Taurus AWD,Large Cars,Regular Gasoline,19.0,0.0,467.0,False,0.0,2800.0
2017,Kia,Niro,Small Station Wagons,Regular Gasoline,49.0,0.0,183.0,False,0.0,1100.0
