Vehicle ID,Fuel ID,Manufacturer ID,Category ID,Model,Model Year,Alternative Fuel Economy City,Alternative Fuel Economy Highway,Alternative Fuel Economy Combined,Conventional Fuel Economy City,Conventional Fuel Economy Highway,Conventional Fuel Economy Combined,Engine Type,Engine Size,Manufacturer,Category,Fuel,Fuel Configuration Name,Electric-Only Range
13005,41,351,29,Ioniq 5 AWD (Long Range),2022,110.0,87.0,98.0,,,98.0,e-motor,74 kW,Hyundai,SUV,Electric,Dedicated,256.0
13003,41,351,29,Ioniq 5 RWD,2022,127.0,94.0,110.0,,,110.0,e-motor,125 kW,Hyundai,SUV,Electric,Dedicated,220.0
13004,41,351,29,Ioniq 5 RWD (Long Range),2022,132.0,98.0,114.0,,,114.0,e-motor,168 kW,Hyundai,SUV,Electric,Dedicated,303.0
12879,41,351,29,Kona Electric,2022,132.0,108.0,120.0,,,120.0,e-motor,150 kW,Hyundai,SUV,Electric,Dedicated,258.0
13061,9,351,29,Nexo,2022,59.0,54.0,57.0,,,57.0,FC,120 kW,Hyundai,SUV,Hydrogen Fuel Cell,Dedicated,
13062,9,351,29,Nexo Blue,2022,65.0,58.0,61.0,,,61.0,FC,120 kW,Hyundai,SUV,Hydrogen Fuel Cell,Dedicated,
12888,57,351,29,Tucson Plug-in Hybrid,2022,,,80.0,35.0,35.0,80.0,SI,1.6L,Hyundai,SUV,Plug-in Hybrid Electric,Hybrid Electric,33.0
12843,45,385,29,E-PACE MHEV,2022,,,,21.0,26.0,23.5,SI,2.0L,Jaguar,SUV,Hybrid Electric,Dedicated,
13027,45,385,29,F-PACE P340 MHEV,2022,,,,20.0,27.0,23.5,SI,3.0L,Jaguar,SUV,Hybrid Electric,Dedicated,
13045,45,385,29,F-PACE P400 MHEV,2022,,,,19.0,26.0,22.5,SI,3.0L,Jaguar,SUV,Hybrid Electric,Dedicated,
13073,57,275,29,Grand Cherokee 4xe,2022,,,56.0,23.0,24.0,56.0,SI,2.0L,Jeep,SUV,Plug-in Hybrid Electric,Hybrid Electric,26.0
12866,45,275,29,Wagoneer 4x2,2022,,,,16.0,22.0,19.0,SI,5.7L,Jeep,SUV,Hybrid Electric,Hybrid Electric,
12867,45,275,29,Wagoneer 4x4,2022,,,,15.0,20.0,17.5,SI,5.7L,Jeep,SUV,Hybrid Electric,Hybrid Electric,
13028,45,275,29,Wrangler 2dr 4x4,2022,,,,20.0,24.0,22.0,SI,3.6L,Jeep,SUV,Hybrid Electric,Hybrid Electric,
13029,45,275,29,Wrangler 4dr 4x4,2022,,,,19.0,24.0,21.5,SI,3.6L,Jeep,SUV,Hybrid Electric,Hybrid Electric,
13038,57,275,29,Wrangler 4dr 4xe,2022,,,49.0,20.0,20.0,49.0,SI,2.0L,Jeep,SUV,Plug-in Hybrid Electric,Hybrid Electric,22.0
12900,45,361,29,Sorento Hybrid AWD,2022,,,,36.0,33.0,34.5,SI,1.6L,Kia,SUV,Hybrid Electric,Hybrid Electric,
12821,45,361,29,Sorento Hybrid FWD,2022,,,,39.0,35.0,37.0,SI,1.6L,Kia,SUV,Hybrid Electric,Hybrid Electric,
12889,57,361,29,Sorento Plug-in Hybrid,2022,,,79.0,35.0,33.0,79.0,SI,1.6L,Kia,SUV,Plug-in Hybrid Electric,Hybrid Electric,32.0
12823,45,387,29,Defender 110 MHEV,2022,,,,17.0,22.0,19.5,SI,3.0L,Land Rover,SUV,Hybrid Electric,Hybrid Electric,
12822,45,387,29,Defender 90 MHEV,2022,,,,17.0,22.0,19.5,SI,3.0L,Land Rover,SUV,Hybrid Electric,Hybrid Electric,
12824,45,387,29,Discovery MHEV,2022,,,,18.0,24.0,21.0,SI,3.0L,Land Rover,SUV,Hybrid Electric,Dedicated,
13082,45,387,29,New Range Rover P360 LWB MHEV,2022,,,,18.0,26.0,22.0,SI,3.0L,Land Rover,SUV,Hybrid Electric,Dedicated,
13081,45,387,29,New Range Rover P360 MHEV,2022,,,,18.0,26.0,22.0,SI,3.0L,Land Rover,SUV,Hybrid Electric,Dedicated,
13084,45,387,29,New Range Rover P400 LWB MHEV,2022,,,,18.0,26.0,22.0,SI,3.0L,Land Rover,SUV,Hybrid Electric,Dedicated,
13083,45,387,29,New Range Rover P400 MHEV,2022,,,,18.0,26.0,22.0,SI,3.0L,Land Rover,SUV,Hybrid Electric,Dedicated,
12901,45,387,29,Range Rover Evoque MHEV,2022,,,,21.0,26.0,23.5,SI,2.0L,Land Rover,SUV,Hybrid Electric,Dedicated,
12868,45,387,29,Range Rover P360 MHEV,2022,,,,18.0,23.0,20.5,SI,3.0L,Land Rover,SUV,Hybrid Electric,Dedicated,
12869,45,387,29,Range Rover P400 MHEV,2022,,,,18.0,23.0,20.5,SI,3.0L,Land Rover,SUV,Hybrid Electric,Dedicated,
12825,45,387,29,Range Rover Sport P360 MHEV,2022,,,,19.0,24.0,21.5,SI,3.0L,Land Rover,SUV,Hybrid Electric,Dedicated,
12826,45,387,29,Range Rover Sport P400 MHEV,2022,,,,19.0,24.0,21.5,SI,3.0L,Land Rover,SUV,Hybrid Electric,Dedicated,
12836,57,387,29,Range Rover Sport PHEV,2022,,,42.0,18.0,21.0,42.0,CI,2.0L,Land Rover,SUV,Plug-in Hybrid Electric,Hybrid Electric,19.0
13030,45,387,29,Range Rover Velar P340 MHEV,2022,,,,20.0,26.0,23.0,SI,3.0L,Land Rover,SUV,Hybrid Electric,Dedicated,
13031,45,387,29,Range Rover Velar P400 MHEV,2022,,,,19.0,25.0,22.0,SI,3.0L,Land Rover,SUV,Hybrid Electric,Dedicated,
12931,45,243,29,NX 350h AWD,2022,,,,41.0,37.0,39.0,SI,2.5L,Lexus,SUV,Hybrid Electric,Hybrid Electric,
13039,57,243,29,NX 450+ AWD,2022,,,84.0,38.0,33.0,84.0,SI,2.5L,Lexus,SUV,Plug-in Hybrid Electric,Dedicated,37.0
12887,45,243,29,RX 450h AWD,2022,,,,31.0,28.0,29.5,SI,3.5L,Lexus,SUV,Hybrid Electric,Hybrid Electric,
12844,45,243,29,RX 450h L AWD,2022,,,,29.0,28.0,28.5,SI,3.5L,Lexus,SUV,Hybrid Electric,Hybrid Electric,
12903,57,227,29,Aviator AWD PHEV,2022,,,56.0,22.0,25.0,56.0,SI,3.0L,Lincoln,SUV,Plug-in Hybrid Electric,,21.0
13040,57,227,29,Corsair AWD PHEV,2022,,,78.0,34.0,32.0,78.0,SI,2.5L,Lincoln,SUV,Plug-in Hybrid Electric,,28.0
12932,45,239,29,AMG GLE 53 4MATIC+,2022,,,,18.0,22.0,20.0,SI,3.0L,Mercedes-Benz,SUV,Hybrid Electric,Hybrid Electric,
12989,45,239,29,AMG GLE 53 4MATIC+ (Coupe),2022,,,,17.0,21.0,19.0,SI,3.0L,Mercedes-Benz,SUV,Hybrid Electric,Hybrid Electric,
13103,45,239,29,AMG GLE 63 4MATIC+,2022,,,,14.0,18.0,16.0,SI,4.0L,Mercedes-Benz,SUV,Hybrid Electric,Hybrid Electric,
13102,45,239,29,AMG GLE 63 S 4MATIC+,2022,,,,15.0,19.0,17.0,SI,4.0L,Mercedes-Benz,SUV,Hybrid Electric,Hybrid Electric,
13101,45,239,29,AMG GLE 63 S 4MATIC+ (coupe),2022,,,,15.0,19.0,17.0,SI,4.0L,Mercedes-Benz,SUV,Hybrid Electric,Hybrid Electric,
13085,45,239,29,GLE 450 4MATIC,2022,,,,20.0,26.0,23.0,SI,3.0L,Mercedes-Benz,SUV,Hybrid Electric,Hybrid Electric,
12937,45,239,29,GLE 450 4MATIC,2022,,,,20.0,25.0,22.5,SI,3.0L,Mercedes-Benz,SUV,Hybrid Electric,Hybrid Electric,
13104,45,239,29,GLE 580 4MATIC,2022,,,,16.0,21.0,18.5,SI,4.0L,Mercedes-Benz,SUV,Hybrid Electric,Hybrid Electric,
12936,45,239,29,GLS 450 4MATIC,2022,,,,18.0,24.0,21.0,SI,3.0L,Mercedes-Benz,SUV,Hybrid Electric,Hybrid Electric,
13105,45,239,29,GLS 580 4MATIC,2022,,,,16.0,21.0,18.5,SI,4.0L,Mercedes-Benz,SUV,Hybrid Electric,Hybrid Electric,
13100,45,239,29,GLS 600 4MATIC Maybach,2022,,,,14.0,20.0,17.0,SI,4.0L,Mercedes-Benz,SUV,Hybrid Electric,Hybrid Electric,
12904,57,263,29,Outlander PHEV,2022,,,74.0,26.0,26.0,74.0,SI,2.4L,Mitsubishi,SUV,Plug-in Hybrid Electric,Hybrid Electric,24.0
12891,57,391,29,Cayenne/Coupe/Platinum e-Hybrid,2022,,,46.0,20.0,22.0,46.0,SI,3.0L ,Porsche,SUV,Plug-in Hybrid Electric,Hybrid Electric,17.0
12890,57,391,29,Cayenne Turbo S/Coupe e-Hybrid ,2022,,,42.0,17.0,20.0,42.0,SI,4.0L,Porsche,SUV,Plug-in Hybrid Electric,Hybrid Electric,15.0
12970,41,470,29,R1S,2022,73.0,65.0,69.0,,,69.0,e-motor,"162, 162, 163, 163 kW",Rivian ,SUV,Electric,Dedicated,316.0
13019,41,237,29,Model X AWD,2022,107.0,97.0,102.0,,,102.0,e-motor,243 and 248 kW,Tesla,SUV,Electric,Dedicated,348.0
13020,41,237,29,"Model X Plaid (20"" Wheels)",2022,103.0,93.0,98.0,,,98.0,e-motor,230 kW,Tesla,SUV,Electric,Dedicated,333.0
13021,41,237,29,"Model X Plaid (22"" Wheels)",2022,94.0,88.0,91.0,,,91.0,e-motor,230 kW,Tesla,SUV,Electric,Dedicated,311.0
13075,41,237,29,Model Y AWD,2022,129.0,116.0,123.0,,,123.0,e-motor,91 and 200 kW,Tesla,SUV,Electric,Dedicated,279.0
13017,41,237,29,Model Y (Long Range) AWD,2022,127.0,117.0,122.0,,,122.0,e-motor,91 and 200 kW,Tesla,SUV,Electric,Dedicated,330.0
13016,41,237,29,Model Y Performance AWD,2022,115.0,106.0,111.0,,,111.0,e-motor,133 and 179 kW,Tesla,SUV,Electric,Dedicated,303.0
13018,41,237,29,Model Y RWD,2022,140.0,119.0,129.0,,,129.0,e-motor,209 kW,Tesla,SUV,Electric,Dedicated,244.0
12940,45,221,29,Highlander Hybrid,2022,,,,36.0,35.0,35.5,SI,2.5L,Toyota,SUV,Hybrid Electric,Hybrid Electric,
12939,45,221,29,Highlander Hybrid AWD,2022,,,,35.0,35.0,35.0,SI,2.5L,Toyota,SUV,Hybrid Electric,Hybrid Electric,
12938,45,221,29,Highlander Hybrid AWD LTD/PLAT,2022,,,,35.0,34.0,34.5,SI,2.5L,Toyota,SUV,Hybrid Electric,Hybrid Electric,
13034,45,221,29,RAV4 Hybrid AWD,2022,,,,41.0,38.0,39.5,SI,2.5L,Toyota,SUV,Hybrid Electric,Hybrid Electric,
12991,45,221,29,Venza AWD,2022,,,,40.0,37.0,38.5,SI,2.5L,Toyota,SUV,Hybrid Electric,Hybrid Electric,
13096,41,347,29,ID.4 AWD Pro,2022,106.0,96.0,101.0,,,101.0,e-motor,80 and 150 kW,Volkswagen,SUV,Electric,Dedicated,251.0
